Serial_Num,Season,Name,ISO_time,Latitude_for_mapping,Longitude_for_mapping
1995154N17276,1995,ALLISON,1995/6/3 0:00,17.4,-84.3
1995154N17276,1995,ALLISON,1995/6/3 6:00,18.3,-84.9
1995154N17276,1995,ALLISON,1995/6/3 12:00,19.3,-85.7
1995154N17276,1995,ALLISON,1995/6/3 18:00,20.6,-85.8
1995154N17276,1995,ALLISON,1995/6/4 0:00,22,-86
1995154N17276,1995,ALLISON,1995/6/4 6:00,23.3,-86.3
1995154N17276,1995,ALLISON,1995/6/4 12:00,24.7,-86.2
1995154N17276,1995,ALLISON,1995/6/4 18:00,26.2,-86.2
1995154N17276,1995,ALLISON,1995/6/5 0:00,27.6,-86.1
1995154N17276,1995,ALLISON,1995/6/5 6:00,28.5,-85.6
1995154N17276,1995,ALLISON,1995/6/5 12:00,29.6,-84.7
1995154N17276,1995,ALLISON,1995/6/5 14:00,29.9,-84.4
1995154N17276,1995,ALLISON,1995/6/5 15:00,30.1,-84.2
1995154N17276,1995,ALLISON,1995/6/5 18:00,30.7,-83.8
1995154N17276,1995,ALLISON,1995/6/6 0:00,31.8,-82.8
1995154N17276,1995,ALLISON,1995/6/6 6:00,32.7,-81.5
1995154N17276,1995,ALLISON,1995/6/6 12:00,33.6,-80
1995154N17276,1995,ALLISON,1995/6/6 18:00,34.5,-78.1
1995154N17276,1995,ALLISON,1995/6/7 0:00,35.6,-75.9
1995154N17276,1995,ALLISON,1995/6/7 6:00,37.1,-73.6
1995154N17276,1995,ALLISON,1995/6/7 12:00,38.5,-71
1995154N17276,1995,ALLISON,1995/6/7 18:00,39.8,-69.2
1995154N17276,1995,ALLISON,1995/6/8 0:00,41,-67.7
1995154N17276,1995,ALLISON,1995/6/8 6:00,42.4,-66
1995154N17276,1995,ALLISON,1995/6/8 12:00,43.8,-63.7
1995154N17276,1995,ALLISON,1995/6/8 18:00,45.2,-61.2
1995154N17276,1995,ALLISON,1995/6/9 0:00,46.5,-58.5
1995154N17276,1995,ALLISON,1995/6/9 6:00,48.1,-55.9
1995154N17276,1995,ALLISON,1995/6/9 12:00,50,-53
1995154N17276,1995,ALLISON,1995/6/9 18:00,53,-52
1995154N17276,1995,ALLISON,1995/6/10 0:00,57,-52
1995154N17276,1995,ALLISON,1995/6/10 6:00,60,-52
1995154N17276,1995,ALLISON,1995/6/10 12:00,62,-53
1995154N17276,1995,ALLISON,1995/6/10 18:00,64,-55
1995154N17276,1995,ALLISON,1995/6/11 0:00,65,-56
1995186N32288,1995,BARRY,1995/7/5 6:00,32,-72
1995186N32288,1995,BARRY,1995/7/5 12:00,32,-72
1995186N32288,1995,BARRY,1995/7/5 18:00,31.9,-72
1995186N32288,1995,BARRY,1995/7/6 0:00,31.8,-72
1995186N32288,1995,BARRY,1995/7/6 6:00,31.7,-71.9
1995186N32288,1995,BARRY,1995/7/6 12:00,31.5,-71.7
1995186N32288,1995,BARRY,1995/7/6 18:00,31.3,-71.6
1995186N32288,1995,BARRY,1995/7/7 0:00,31.3,-71.3
1995186N32288,1995,BARRY,1995/7/7 6:00,31.6,-71
1995186N32288,1995,BARRY,1995/7/7 12:00,32.2,-70.6
